"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"beta_alpha_0.4","beta",0.4,17,0.25,275,828,1103,0.496591597396819,741.473622860793,585.094047079082,0.40750288203344,0.505868175857188,0.371502795846806
"beta_alpha_0.4","beta",0.4,18,0.25,275,828,1103,0.429095871803969,701.471204853448,561.929384788561,0.361450308736869,0.493583998470185,0.36965134237954
"beta_alpha_0.4","beta",0.4,19,0.25,275,828,1103,0.435938387286728,706.75998439801,559.430600274863,0.380186998160193,0.521256611272789,0.371584244833804
"beta_alpha_0.4","beta",0.4,20,0.25,275,828,1103,0.481234546843392,652.508207478581,512.938924117502,0.473396040538336,0.50788907885615,0.372890501146376
"beta_alpha_0.4","beta",0.4,21,0.25,275,828,1103,0.441135069173055,702.627942673384,558.302377723591,0.39356346440389,0.492816360733307,0.37552633428898
"beta_alpha_0.4","beta",0.4,22,0.25,275,828,1103,0.410834546013047,760.143340427397,607.086994551411,0.317600031866552,0.512690751286028,0.373443470797985
"beta_alpha_0.4","beta",0.4,23,0.25,275,828,1103,0.291465359081288,750.735996065909,608.213195168717,0.274571877493507,0.498454587413069,0.371638337477078
"beta_alpha_0.4","beta",0.4,24,0.25,275,828,1103,0.417936027663442,747.854298737933,586.5434883184,0.341169783507087,0.493164187221622,0.375119425092411
"beta_alpha_0.4","beta",0.4,25,0.25,275,828,1103,0.470526848340149,621.890165944338,478.691372831655,0.529957601033948,0.501038875387363,0.373839487569449
"beta_alpha_0.4","beta",0.4,26,0.25,275,828,1103,0.297643258723782,744.61547260053,588.553214282073,0.285008403078911,0.486075646346878,0.368470402326265
"beta_alpha_0.4","beta",0.4,27,0.25,275,828,1103,0.411055651546351,656.619845836502,525.364387760367,0.431924935283526,0.482631527574522,0.368658299617051
"beta_alpha_0.4","beta",0.4,28,0.25,275,828,1103,0.470708259208105,702.820601740955,557.298550846257,0.433417523870468,0.50398434731647,0.370197192098006
"beta_alpha_0.4","beta",0.4,29,0.25,275,828,1103,0.475601745497253,655.155893863449,517.677880106702,0.443686768296864,0.503017596495369,0.372398239820708
"beta_alpha_0.4","beta",0.4,30,0.25,275,828,1103,0.423281453388646,672.375563399715,525.781229951725,0.384272511318281,0.493409227182313,0.370828145702283
